8	rgvm	0	main	1325848663563838000	+	main
40	rgvm	1	10	1325848663596080000	+	waittask
40	rgvm	1	11	1325848663596463000	+	waittask
40	rgvm	0	15	1325848663596530000	+	waittask
40	rgvm	0	15	1325848663596605000	+	wait1
40	rgvm	1	10	1325848663596506000	+	wait1
40	rgvm	1	11	1325848663596522000	+	wait1
41	rgvm	0	14	1325848663596828000	+	waittask
41	rgvm	0	14	1325848663597054000	+	wait1
41	rgvm	1	12	1325848663597089000	+	waittask
41	rgvm	1	12	1325848663597355000	+	wait1
41	rgvm	0	16	1325848663596700000	+	waittask
41	rgvm	0	16	1325848663597580000	+	wait1
60	rgvm	0	15	1325848663615952000	-	wait1
60	rgvm	0	15	1325848663615981000	+	wait2
249	rgvm	1	10	1325848663805387000	-	wait1
249	rgvm	1	10	1325848663805485000	+	wait2
304	rgvm	1	12	1325848663860319000	-	wait1
304	rgvm	1	12	1325848663860385000	+	wait2
317	rgvm	0	16	1325848663872808000	-	wait1
317	rgvm	0	16	1325848663872873000	+	wait2
574	rgvm	0	14	1325848664130329000	-	wait1
574	rgvm	0	14	1325848664130423000	+	wait2
677	rgvm	1	12	1325848664232799000	-	wait2
677	rgvm	1	12	1325848664232848000	+	barrier
714	rgvm	0	15	1325848664270295000	-	wait2
714	rgvm	0	15	1325848664270366000	+	barrier
849	rgvm	1	11	1325848664405350000	-	wait1
849	rgvm	1	11	1325848664405409000	+	wait2
955	rgvm	0	16	1325848664510979000	-	wait2
955	rgvm	0	16	1325848664511033000	+	barrier
1109	rgvm	1	11	1325848664665336000	-	wait2
1109	rgvm	1	11	1325848664665392000	+	barrier
1133	rgvm	1	10	1325848664688620000	-	wait2
1133	rgvm	1	10	1325848664688664000	+	barrier
1320	rgvm	0	14	1325848664876541000	-	wait2
1320	rgvm	0	14	1325848664876589000	+	barrier
1321	rgvm	0	14	1325848664876673000	-	barrier
1321	rgvm	0	14	1325848664876690000	+	wait3
1321	rgvm	1	11	1325848664876742000	-	barrier
1321	rgvm	1	12	1325848664876738000	-	barrier
1321	rgvm	1	12	1325848664876945000	+	wait3
1321	rgvm	0	16	1325848664877237000	-	barrier
1321	rgvm	0	16	1325848664877273000	+	wait3
1321	rgvm	0	15	1325848664877302000	-	barrier
1321	rgvm	0	15	1325848664877344000	+	wait3
1321	rgvm	1	10	1325848664876884000	-	barrier
1323	rgvm	1	10	1325848664878812000	+	wait3
1321	rgvm	1	11	1325848664876868000	+	wait3
1590	rgvm	0	16	1325848665146570000	-	wait3
1590	rgvm	0	16	1325848665146630000	-	waittask
1879	rgvm	0	15	1325848665435315000	-	wait3
1879	rgvm	0	15	1325848665435381000	-	waittask
1908	rgvm	1	11	1325848665464054000	-	wait3
1908	rgvm	1	11	1325848665464206000	-	waittask
1927	rgvm	0	14	1325848665482839000	-	wait3
1927	rgvm	0	14	1325848665482901000	-	waittask
1983	rgvm	1	12	1325848665539189000	-	wait3
1983	rgvm	1	12	1325848665539243000	-	waittask
2172	rgvm	1	10	1325848665727801000	-	wait3
2172	rgvm	1	10	1325848665727947000	-	waittask
2180	rgvm	0	30	1325848665736302000	+	waittask
2180	rgvm	0	32	1325848665736366000	+	waittask
2180	rgvm	0	32	1325848665736408000	+	wait1
2180	rgvm	0	30	1325848665736484000	+	wait1
2180	rgvm	1	22	1325848665736364000	+	waittask
2180	rgvm	0	31	1325848665736552000	+	waittask
2180	rgvm	0	31	1325848665736596000	+	wait1
2180	rgvm	1	23	1325848665736397000	+	waittask
2181	rgvm	1	23	1325848665736629000	+	wait1
2180	rgvm	1	22	1325848665736565000	+	wait1
2181	rgvm	1	24	1325848665736680000	+	waittask
2181	rgvm	1	24	1325848665736719000	+	wait1
2282	rgvm	1	22	1325848665837802000	-	wait1
2282	rgvm	1	22	1325848665838288000	+	wait2
2318	rgvm	0	32	1325848665874062000	-	wait1
2318	rgvm	0	32	1325848665874127000	+	wait2
2418	rgvm	0	30	1325848665974062000	-	wait1
2418	rgvm	0	30	1325848665974134000	+	wait2
2447	rgvm	0	31	1325848666002797000	-	wait1
2447	rgvm	0	31	1325848666002859000	+	wait2
2584	rgvm	0	32	1325848666140293000	-	wait2
2584	rgvm	0	32	1325848666140335000	+	barrier
2585	rgvm	1	23	1325848666141600000	-	wait1
2586	rgvm	1	23	1325848666141648000	+	wait2
2649	rgvm	0	30	1325848666205287000	-	wait2
2649	rgvm	0	30	1325848666205333000	+	barrier
2672	rgvm	1	22	1325848666227788000	-	wait2
2672	rgvm	1	22	1325848666227852000	+	barrier
2759	rgvm	0	31	1325848666314958000	-	wait2
2759	rgvm	0	31	1325848666314996000	+	barrier
3108	rgvm	1	24	1325848666663884000	-	wait1
3108	rgvm	1	24	1325848666663944000	+	wait2
3153	rgvm	1	23	1325848666708745000	-	wait2
3153	rgvm	1	23	1325848666708797000	+	barrier
3523	rgvm	1	24	1325848667079047000	-	wait2
3523	rgvm	1	24	1325848667079099000	+	barrier
3523	rgvm	0	31	1325848667079337000	-	barrier
3523	rgvm	1	23	1325848667079325000	-	barrier
3523	rgvm	0	32	1325848667079352000	-	barrier
3523	rgvm	0	31	1325848667079403000	+	wait3
3523	rgvm	0	30	1325848667079379000	-	barrier
3523	rgvm	0	32	1325848667079437000	+	wait3
3523	rgvm	1	23	1325848667079520000	+	wait3
3523	rgvm	0	30	1325848667079591000	+	wait3
3525	rgvm	1	24	1325848667081078000	-	barrier
3525	rgvm	1	24	1325848667081109000	+	wait3
3525	rgvm	1	22	1325848667081134000	-	barrier
3525	rgvm	1	22	1325848667081148000	+	wait3
3538	rgvm	1	23	1325848667094293000	-	wait3
3538	rgvm	1	23	1325848667094335000	-	waittask
3564	rgvm	0	30	1325848667120283000	-	wait3
3564	rgvm	0	30	1325848667120367000	-	waittask
3698	rgvm	0	31	1325848667254320000	-	wait3
3698	rgvm	0	31	1325848667254360000	-	waittask
3959	rgvm	1	24	1325848667515331000	-	wait3
3959	rgvm	1	24	1325848667515388000	-	waittask
4111	rgvm	1	22	1325848667667318000	-	wait3
4111	rgvm	1	22	1325848667667441000	-	waittask
4317	rgvm	0	32	1325848667872820000	-	wait3
4317	rgvm	0	32	1325848667872892000	-	waittask
4317	rgvm	0	main	1325848667872937000	-	main
